product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
304020300,2.39381e+10,22,UNKNOWN,0.4815,115025,2.51567e+08,1.15262e+10,3.9057e+08,1.0494e+06,2.58237e+06,,7.84292e+09,4.44454e+08,2.75487e+06,100,1500,1.5833e+09,4848,1.26514e+08,5.38249e+08,,,,519173,1.49502e+08,,,10000,900,,2.69291e+08,,8.08188e+08,,269100,
109061803,2.30565e+10,13,个,0.9964,5000,2.29724e+10,6.40738e+07,1.14209e+07,,,,,1534.8,,664985,675,570,,7.86231e+06,13743.8,,990,,,,,,10818,,,4545,,,,,
108020800,2.30075e+10,15,千克,0.9777,2.24946e+10,5.5983e+07,2.59245e+08,8.78501e+06,,3.36863e+07,,,1.54258e+08,83250,172475,22350,1053,13956.8,483847,,,,49.5,,,,,43502.4,,165630,,,,,,
107010102,2.29466e+10,14,千克,0.9976,2.28905e+10,7.16366e+06,2.76505e+07,387729,,635550,3.14672e+06,,3.7917e+06,,,173968,,177520,228990,,,1.26784e+07,5400,,,,,196,4896,,,,,,,
106010204,2.28995e+10,24,千克,0.8512,1.94921e+10,2.35529e+09,1.519e+08,9.07776e+07,181204,5.27537e+07,669051,,7.85837e+07,5.72105e+08,243682,1.08537e+07,696503,720,3.89181e+07,,,94214.3,99998.1,832993,82.5,,,393182,2.15922e+07,7.73718e+06,4292.13,321.75,,2.36523e+07,,
107022302,2.22797e+10,19,个,0.7147,4.33302e+07,1.59241e+10,9.30769e+07,2.19001e+09,,50342.8,,,1.90801e+07,1.01645e+06,8.26045e+08,3.33092e+07,,2.91307e+09,1.38754e+07,46102.8,,39993.9,8.70059e+06,618017,,689915,,556.62,1716.3,2.12713e+08,,,,,,
107040302,2.19841e+10,13,千克,0.9820,2.15879e+10,2.2623e+07,4.34462e+06,2.78428e+06,,3.56572e+08,,,1.32049e+06,8.35044e+06,,4700,,6750,570,,,,,,,,,135568,95023,50,,,,,,
104010102,2.19563e+10,20,千克,0.9332,2.04895e+10,6.02912e+08,6.4249e+07,6.35805e+06,,7.14474e+08,1160,,1.3289e+07,3.25193e+07,5.17027e+06,216873,9560,1.53322e+06,6.84213e+06,1.15054e+07,,31487,134684,,,,,2.17772e+06,2.01853e+06,3.31718e+06,,,,16500,,
109051104,2.16318e+10,19,个,0.9826,8.63241e+06,2.12545e+10,3.66556e+07,3.10301e+08,,231782,,8.87537e+06,4.26081e+06,32965,2.22869e+06,300013,55140.7,29954.5,3.82867e+06,202472,,307329,6153.91,,,,,3705.3,11905,1.34422e+06,,,,,,
108030300,2.11555e+10,14,千克,0.9971,2.10937e+10,1.88978e+07,6.65526e+06,8.0334e+06,,331664,,,2.7021e+07,673280,108,,1041,1198.43,100331,,,26600,,,,,,,62870.6,300,,,,,,
108020706,2.06125e+10,19,千克,0.9904,2.04141e+10,1.38885e+08,6.02304e+06,4.22604e+06,57280,3.12764e+07,,565966,2.56804e+06,1.1784e+06,83475.8,643296,1293,140,7.87302e+06,,,,3600,,,,,865373,4.19199e+06,2965.04,900,,,,,
101010103,2.06027e+10,24,千克,0.9832,2.02559e+10,8.67911e+07,1.39547e+08,3.39332e+07,1.66615e+06,3.2728e+06,2.72464e+06,286283,4.31719e+07,639336,3.96521e+06,1.36666e+07,3.82391e+06,1.7501e+06,4.26371e+06,433275,,661263,3.78129e+06,24476,,26275.1,,262250,1.00074e+06,621383,478941,,,,,
107010107,2.04361e+10,24,千克,0.4395,8.98169e+09,1.4779e+08,3.83824e+07,1.09069e+07,374256,3.05769e+06,2.99305e+09,1.49516e+06,1.50642e+08,3407.48,523525,8.45408e+07,113218,9.45803e+07,4.61836e+07,,,7.86902e+09,124449,,,1.30672e+07,,30444,133158,65661.2,311893,,,,750,200
109051908,1.93323e+10,22,个,0.8561,1.01541e+08,1.65502e+10,2.12094e+08,6.14004e+08,8.48566e+06,2.60721e+08,,585907,1.38644e+08,7.63225e+08,482626,808892,4.12726e+06,30743.3,4.84791e+07,8500,,36535.5,1829.1,,5151,,5.65873e+08,1.47671e+07,4.70715e+07,1.16783e+06,,,,,,
102020200,1.93019e+10,19,立方米,0.8278,4.91585e+08,150407,1.07057e+08,311749,9.87855e+08,20770,1.59785e+10,,1.73229e+09,254194,1272.82,21456.8,46356.3,2.93445e+06,338895,20000,,519569,,,,1300,,,2100.64,,85.38,,,,,
109010206,1.90616e+10,24,个,0.9368,3.29325e+08,1.78572e+10,5.84095e+07,4.00813e+08,1.077e+06,6.06435e+06,1.00796e+07,411862,1.05884e+08,297427,151167,1.83877e+06,3.89101e+06,1.30296e+07,7.34544e+07,10000,,1.53759e+08,8115.33,196305,,3.40116e+06,,4.13147e+07,135821,822078,,,,,,33787.7
109040401,1.89083e+10,20,个,0.9195,1.82791e+08,1.73858e+10,1.73536e+08,1.03017e+09,1.76273e+07,2.35733e+06,179689,272080,9.48689e+07,7326,466.32,,436725,500,1.50917e+07,,,156863,,1521,,,4.4093e+06,333678,2793.3,,,,,,294320,
107022301,1.87284e+10,21,个,0.8393,4.18878e+07,1.57186e+10,6.81686e+07,1.08725e+08,,18150,176535,,4.52164e+07,,2.96569e+08,1.24817e+08,342,2.25596e+09,5.36136e+06,43011.9,,7.37539e+06,5.39394e+06,124223,314.67,543534,,319.98,7227.4,4.93988e+07,,,,,,
106051299,1.86606e+10,26,个,0.7454,6.85266e+07,1.39098e+10,6.82549e+07,3.7614e+08,,1.89257e+07,40359.8,99209.3,6.39004e+07,7.10988e+06,2.76728e+08,1.8208e+09,11193.5,1.44816e+09,4.30676e+07,112137,,2.5213e+06,3.64347e+07,1.22693e+06,10210.8,4.06564e+08,,3.84737e+06,1.62753e+07,9.19676e+07,10754.6,,,,1055,12541.4
103020899,1.82284e+10,16,瓶,0.4995,9.01358e+07,4.15342e+08,1.57004e+07,2.79942e+07,,4,29580.5,,8.8866e+07,,3.69757e+09,1.09385e+09,,9.10539e+09,4.85242e+06,,,4.57352e+07,1.92188e+07,8263.6,,3.62206e+09,,,,1.66424e+06,,,,,,
107020201,1.79109e+10,20,千克,0.9954,1.7828e+10,3.42622e+06,2.24477e+07,32368.2,,2.40497e+06,2.06858e+06,90784.2,1.70446e+06,2.71361e+07,8591.2,66031.6,2100,1.62669e+07,187920,,,4.75637e+06,534840,,,10207.6,,6430.1,967888,801538,,,,,,
106010599,1.74689e+10,27,个,0.4314,7.31024e+09,7.53572e+09,1.17635e+08,4.81369e+08,4.07895e+06,4.59018e+07,54542.5,518252,2.05442e+08,8.78863e+08,1.06953e+07,1.77533e+08,385026,244925,2.68218e+08,1.27589e+06,,179266,2.73971e+07,4.47448e+07,1000,91920.8,,1.45485e+07,1.00186e+08,8.08731e+07,11000,,2000,1.62714e+08,,
