product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
109024505,5062994.409019947,27,10,7,3,个,COUNT,0.5456
103011600,5039543.082443237,15,8,5,2,千克,MASS,0.9755
109061302,5036058.0,8,4,4,1,个,COUNT,0.6752
103020904,5026060.700439453,18,11,6,2,个,COUNT,0.8674
103040400,4985807.769989014,11,7,6,2,个,COUNT,0.9173
106050201,4936116.749389648,11,6,6,2,个,COUNT,0.7539
107030502,4896243.370178223,17,11,7,3,袋,CONTAINER,0.5042
109023202,4876816.09462738,19,9,8,1,个,COUNT,0.6898
405030000,4863054.8984375,7,5,5,1,UNKNOWN,UNKNOWN,0.8827
109023602,4835535.571533203,14,7,7,2,个,COUNT,0.864
106051004,4832645.4248046875,11,5,5,2,个,COUNT,0.92
109025104,4782501.3125,7,5,4,1,UNKNOWN,UNKNOWN,0.565
108032101,4776565.446533203,12,6,6,4,千克,MASS,0.7083
109023503,4705350.5,3,1,1,1,个,COUNT,1.0
109025003,4680524.480606079,15,8,7,2,个,COUNT,0.7913
105010508,4654228.391769409,26,7,6,3,套,SET,0.6243
109061902,4635280.690254211,7,3,3,1,套,SET,0.9816
103010302,4610753.58767128,13,8,4,2,千克,MASS,0.7863
106041010,4552868.9595263,30,13,8,4,个,COUNT,0.8762
108041113,4497400.800098419,20,9,6,2,千克,MASS,0.8868
109060499,4488640.732410431,22,7,6,3,个,COUNT,0.7846
109040203,4482165.279785156,17,7,5,2,个,COUNT,0.547
103020512,4395999.226782799,20,11,6,2,袋,CONTAINER,0.2724
109060803,4372936.686058044,14,5,5,1,个,COUNT,0.9887
103020513,4371421.4772497155,19,13,6,1,瓶,CONTAINER,0.4786
109061806,4364848.792556763,22,8,7,2,个,COUNT,0.8229
301049901,4340223.1875,5,4,4,2,项,SERVICE,0.8295
107020502,4308513.184371948,11,7,5,2,千克,MASS,0.9231
109020812,4274151.09072876,17,8,7,3,个,COUNT,0.9831
109032105,4250934.802793503,42,16,10,4,个,COUNT,0.5409
107030215,4245052.634189606,25,13,7,1,盒,CONTAINER,0.6294
106020403,4228915.284326553,22,8,6,2,个,COUNT,0.7219
107030701,4204638.613723755,19,10,6,2,千克,MASS,0.699
107030704,4192312.219970703,7,6,4,2,千克,MASS,0.6118
109022807,4109650.0,3,2,2,1,个,COUNT,0.9891
109012803,4107127.8515625,12,5,5,2,个,COUNT,0.7886
108041109,4093294.979248047,12,4,4,3,个,COUNT,0.9422
104010308,4086609.1219177246,16,9,7,4,个,COUNT,0.5533
109032502,4027973.173095703,6,3,3,1,个,COUNT,0.8675
106051104,4015239.9109497066,5,4,4,1,套,SET,0.589
102049905,4007717.531372071,16,9,7,3,千克,MASS,0.6044
108032303,3998737.9010238647,13,6,6,4,千克,MASS,0.6512
107020124,3995606.244987488,9,5,4,3,千克,MASS,0.8689
110030202,3976570.236511231,17,7,6,3,个,COUNT,0.5487
107030503,3901057.251953125,8,5,4,2,OTHER,OTHER,0.7876
103020509,3847981.8610367775,23,11,5,2,瓶,CONTAINER,0.4659
104010509,3827433.3617191315,18,7,7,2,个,COUNT,0.7372
103011002,3768191.817296505,22,10,7,2,箱,CONTAINER,0.5063
101010600,3767935.879753113,29,14,8,4,千克,MASS,0.4847
103020510,3765852.733235836,24,13,7,3,个,COUNT,0.5208
301040303,3715927.109375,3,3,3,1,UNKNOWN,UNKNOWN,0.7379
109021803,3710482.453655243,25,14,8,3,个,COUNT,0.7517
105010506,3691721.9808807373,13,8,7,3,立方米,VOLUME,0.3882
107021612,3682896.635894776,16,11,6,2,份,SERVICE,0.4065
109060804,3681107.9699859624,7,3,3,1,个,COUNT,0.9013
105020202,3669681.518661499,21,11,9,4,平方米,AREA,0.6846
109061301,3626457.4537963867,6,4,4,2,套,SET,0.6431
101011205,3623344.9757890706,20,12,8,2,千克,MASS,0.7803
107029905,3617483.4432296758,20,11,7,2,个,COUNT,0.8419
109011212,3611619.760902405,8,3,3,1,套,SET,0.5233
