product_id,n_obs,n_firms,n_cities,mean_price,median_price,min_price,max_price,std_price,mean_lnp,std_lnp,min_lnp,max_lnp,mkt_price,range_price,range_lnp,cv_price
109051102,70,70,38,1165.8662,717.6164,3.761,7635.9524,1649.9672,6.1886,1.5611,1.3247,8.9406,110.3786,7632.1914,7.6159,1.4152
106040105,70,70,44,26.6212,6.3032,0.158,593.6074,80.3596,1.936,1.4113,-1.8455,6.3862,4.9373,593.4495,8.2317,3.0186
104010599,70,70,44,335.1774,141.4291,6.3,9487.5714,1133.8565,4.9753,1.0428,1.8405,9.1577,103.494,9481.2714,7.3172,3.3829
107060110,70,70,44,43.1574,2.4597,0.0409,644.4,110.9393,1.4716,2.3243,-3.1969,6.4683,1.5372,644.3591,9.6652,2.5706
105020199,70,70,36,1473.3022,258.5644,3.5103,22276.7046,3981.6665,5.3911,2.0547,1.2557,10.0113,119.8354,22273.1943,8.7556,2.7025
103011302,70,70,44,16.7233,6.8847,2.0889,367.5934,44.0162,2.1946,0.86,0.7366,5.907,9.2928,365.5045,5.1703,2.632
101011502,69,69,41,42.0898,16.7943,3.2889,1019.1272,125.9016,2.9837,0.9115,1.1905,6.9267,19.6965,1015.8383,5.7362,2.9913
109062799,69,69,41,1199.9087,34.289,1.542,28000.0,4422.3304,4.2311,2.3746,0.4331,10.24,38.143,27998.458,9.8069,3.6856
109041799,69,69,44,742.367,287.891,0.7692,11653.767,1538.5108,5.4754,1.8712,-0.2624,9.3634,125.8292,11652.9978,9.6258,2.0724
103020203,69,69,39,65.3537,18.0211,3.91,715.1,118.4951,3.3271,1.1949,1.3635,6.5724,55.3824,711.19,5.2089,1.8131
104020499,69,69,45,215.937,94.0,7.6653,4810.0,583.7481,4.5615,1.1398,2.0367,8.4785,63.9855,4802.3347,6.4417,2.7033
103010101,69,69,44,92.9796,15.6038,2.5588,3000.0,402.0042,2.9373,1.1697,0.9395,8.0064,9.4718,2997.4412,7.0668,4.3236
103021001,69,69,43,246.7931,6.4583,0.6381,6685.0835,893.2598,2.5962,2.3698,-0.4493,8.8076,55.216,6684.4454,9.2569,3.6195
